,Title,Avg_Rating,Genre
11517,Sanjuro,4.608695652173913,Action
904,Seven Samurai (The Magnificent Seven) (Shichinin no samurai),4.560509554140127,Action
195,"Godfather, The",4.524966261808367,Action
134,Raiders of the Lost Ark,4.477724741447892,Action
44,Star Wars: Episode IV - A New Hope,4.453694416583082,Action
508633,Ulysses (Ulisse),5.0,Adventure
11517,Sanjuro,4.608695652173913,Adventure
134,Raiders of the Lost Ark,4.477724741447892,Adventure
44,Star Wars: Episode IV - A New Hope,4.453694416583082,Adventure
2638,Lawrence of Arabia,4.401925391095066,Adventure
29,"Close Shave, A",4.52054794520548,Animation
1034,"Wrong Trousers, The",4.507936507936508,Animation
21,Wallace & Gromit: The Best of Aardman Animation,4.426940639269406,Animation
2191,"Grand Day Out, A",4.361522198731501,Animation
6695,Creature Comforts,4.335766423357664,Animation
9,"Wizard of Oz, The",4.247962747380675,Children's
50,Toy Story 2,4.218927444794953,Children's
40,Toy Story,4.146846413095811,Children's
1101,"Iron Giant, The",4.0474777448071215,Children's
7266,Winnie the Pooh and the Blustery Day,3.986425339366516,Children's
931435,Follow the Bitch,5.0,Comedy
442725,One Little Indian,5.0,Comedy
251077,Smashing Time,5.0,Comedy
29,"Close Shave, A",4.52054794520548,Comedy
1034,"Wrong Trousers, The",4.507936507936508,Comedy
689704,Lured,5.0,Crime
195,"Godfather, The",4.524966261808367,Crime
273,"Usual Suspects, The",4.517106001121705,Crime
106537,"Bells, The",4.5,Crime
1710,Double Indemnity,4.415607985480944,Crime
652708,Bittersweet Motel,5.0,Documentary
207357,"Gate of Heavenly Peace, The",5.0,Documentary
22120,For All Mankind,4.444444444444445,Documentary
222250,Return with Honor,4.4,Documentary
14743,Jupiter's Wife,4.333333333333333,Documentary
442725,One Little Indian,5.0,Drama
925307,Schlafes Bruder (Brother of Sleep),5.0,Drama
399021,Song of Freedom,5.0,Drama
11558,I Am Cuba (Soy Cuba/Ya Kuba),4.8,Drama
227662,Lamerica,4.75,Drama
44,Star Wars: Episode IV - A New Hope,4.453694416583082,Fantasy
60526,"Hungarian Fairy Tale, A",4.0,Fantasy
26,E.T. the Extra-Terrestrial,3.9651828999559275,Fantasy
556,Heavenly Creatures,3.8658280922431865,Fantasy
798,Willy Wonka and the Chocolate Factory,3.8613861386138613,Fantasy
3538,Sunset Blvd. (a.k.a. Sunset Boulevard),4.491489361702127,Film-Noir
1710,Double Indemnity,4.415607985480944,Film-Noir
478,"Maltese Falcon, The",4.395973154362416,Film-Noir
193,Chinatown,4.339240506329114,Film-Noir
1711,"Manchurian Candidate, The",4.333333333333333,Film-Noir
996122,"Baby, The",5.0,Horror
1048,Young Frankenstein,4.250628667225482,Horror
1172,Psycho,4.218527315914489,Horror
453,Alien,4.159584980237154,Horror
1129,"Shining, The",4.104875804967802,Horror
1391,Singin' in the Rain,4.2836218375499335,Musical
9,"Wizard of Oz, The",4.247962747380675,Musical
1276,This Is Spinal Tap,4.179785330948121,Musical
4395,Shall We Dance?,4.1657142857142855,Musical
2,My Fair Lady,4.154088050314465,Musical
425024,"Hour of the Pig, The",4.5,Mystery
1384,Rear Window,4.476190476190476,Mystery
3512,"Third Man, The",4.452083333333333,Mystery
478,"Maltese Falcon, The",4.395973154362416,Mystery
193,Chinatown,4.339240506329114,Mystery
98710,Skipped Parts,4.5,Romance
1239,Casablanca,4.412822049131217,Romance
3630,City Lights,4.387453874538745,Romance
5,"Princess Bride, The",4.3037100949094045,Romance
1390,"Philadelphia Story, The",4.3006872852233675,Romance
44,Star Wars: Episode IV - A New Hope,4.453694416583082,Sci-Fi
511,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.4498902706656915,Sci-Fi
139,"Matrix, The",4.315830115830116,Sci-Fi
131,Star Wars: Episode V - The Empire Strikes Back,4.292976588628763,Sci-Fi
529,Blade Runner,4.273333333333333,Sci-Fi
29,"Close Shave, A",4.52054794520548,Thriller
273,"Usual Suspects, The",4.517106001121705,Thriller
1384,Rear Window,4.476190476190476,Thriller
3512,"Third Man, The",4.452083333333333,Thriller
38,"Sixth Sense, The",4.406262708418057,Thriller
23,Schindler's List,4.510416666666667,War
5026,Paths of Glory,4.473913043478261,War
511,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.4498902706656915,War
1239,Casablanca,4.412822049131217,War
2638,Lawrence of Arabia,4.401925391095066,War
442725,One Little Indian,5.0,Western
77,Yojimbo,4.404651162790698,Western
1509,Butch Cassidy and the Sundance Kid,4.215644820295983,Western
1605,High Noon,4.1786600496277915,Western
702,"Good, The Bad and The Ugly, The",4.133819951338199,Western
